bearID,sex,year,bearyear,birth,age,litterID,repro,jan,reprocat,cubsfirstcount,cubseparation,cubage,statut,weaningage,ILI,dam,sire,matlitterID,sampleID,year.sampled,C13.suess,N15,mass,headcirc,condition,Cmonth,cort,littercond,littercort
W0304,F,2002,W0304.2002,2002,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9909,V005505,W9909.2002,343,2003,-22.97,4.8,29,40.5,0.72,4,3.42,,
W0305,F,2002,W0305.2002,2002,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9909,V086305,W9909.2002,344,2003,-22.96,4.79,24,40.5,0.59,4,5,,
W0306,F,2002,W0306.2002,2002,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9909,V005505,W9909.2002,345,2003,-22.85,4.99,24.5,40.5,0.6,4,4.55,,
W0422,F,2003,W0422.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0004,W9401,W0004.2003,881,2004,-23.15,4.36,27,40,0.68,4,7.75,,
W0412,F,2003,W0412.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0109,V167506,W0109.2003,396,2004,-23.52,4.35,21,39,0.54,4,3.6,,
W0407,F,2003,W0407.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0234,W9401,W0234.2003,395,2004,-23.5,4.36,17,38,0.45,4,2.89,,
W0419,F,2003,W0419.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0237,V151510,W0237.2003,880,2004,-22.92,4.88,22,38.5,0.57,4,12.88,,
W0405,F,2003,W0405.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9007,W9916,W9007.2003,393,2004,-22.96,4.76,29,45,0.64,4,3.36,,
W0410,F,2003,W0410.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9307,W9701,W9307.2003,877,2004,-23.45,4.64,27,39,0.69,4,12.18,,
W0401,F,2003,W0401.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9502,UNKNOWN07,W9502.2003,389,2004,-23.4,4.61,21,40,0.53,4,4.39,,
