bearID,sex,year,bearyear,birth,age,litterID,repro,jan,reprocat,cubsfirstcount,cubseparation,cubage,statut,weaningage,ILI,dam,sire,matlitterID,sampleID,year.sampled,C13.suess,N15,mass,headcirc,condition,Cmonth,cort
W0402,F,2003,W0402.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9502,V118304,W9502.2003,402,2004,-23.614,4.85,30,42,0.714285714,4,4.345
W0403,F,2003,W0403.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9502,V118304,W9502.2003,391,2004,-23.104,4.83,26,42,0.619047619,4,4.0118
W0405,F,2003,W0405.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9007,W9916,W9007.2003,393,2004,-22.964,4.76,29,45,0.644444444,4,3.3552
W0407,F,2003,W0407.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0234,W9401,W0234.2003,395,2004,-23.504,4.36,17,38,0.447368421,4,2.8946
W0410,F,2003,W0410.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9307,W9701,W9307.2003,877,2004,-23.454,4.64,27,39,0.692307692,4,12.18
W0412,F,2003,W0412.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0109,V167506,W0109.2003,396,2004,-23.524,4.35,21,39,0.538461538,4,3.6002
W0415,F,2003,W0415.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9913,W0201,W9913.2003,399,2004,-23.254,4.41,27,41,0.658536585,4,3.1004
W0416,F,2003,W0416.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9913,W0423,W9913.2003,400,2004,-23.234,4.35,25,45,0.555555556,4,3.7864
W0419,F,2003,W0419.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0237,V151510,W0237.2003,880,2004,-22.924,4.88,22,38.5,0.571428571,4,12.88
W0422,F,2003,W0422.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0004,W9401,W0004.2003,881,2004,-23.154,4.36,27,40,0.675,4,7.75
W0503,F,2004,W0503.2004,2004,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9806,W0233,W9806.2004,434,2005,-22.972,4.97,24,42,0.571428571,4,5.3936
W0504,F,2004,W0504.2004,2004,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0326,W9301,W0326.2004,884,2005,-22.562,3.76,25,41,0.609756098,4,6.23
W0505,F,2004,W0505.2004,2004,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9101,V497311,W9101.2004,435,2005,-23.642,4.28,23.5,40,0.5875,4,5.8346
W0507,F,2004,W0507.2004,2004,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8906,W0230,W8906.2004,437,2005,-23.892,4.4,22,41,0.536585366,4,5.9718
W0508,F,2004,W0508.2004,2004,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0018,NA,W0018.2004,438,2005,-23.042,4.8,17,38.5,0.441558442,4,7.3242
W0509,F,2004,W0509.2004,2004,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9903,NA,W9903.2004,439,2005,-22.812,4.16,22,43,0.511627907,4,6.5206
W0511,F,2004,W0511.2004,2004,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9804,W0102,W9804.2004,441,2005,-23.042,4.48,17,28,0.607142857,4,8.5492
W0513,F,2004,W0513.2004,2004,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0236,V134008,W0236.2004,442,2005,-23.012,4.98,22,40,0.55,4,5.423
W0602,F,2005,W0602.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0104,V095408,W0104.2005,894,2006,-23.47,4.9,19,41,0.463414634,4,15.59
W0603,F,2005,W0603.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9909,V095408,W9909.2005,461,2006,-23.06,5.67,41,48,0.854166667,4,3.6688
W0605,F,2005,W0605.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0229,UNKNOWN11,W0229.2005,896,2006,-23.38,4.61,20,38,0.526315789,4,13.15
W0606,F,2005,W0606.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0229,W0228,W0229.2005,897,2006,-23.17,4.82,20,38,0.526315789,4,12.76
W0607,F,2005,W0607.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8904,UNKNOWN12,W8904.2005,462,2006,-23.22,5.06,17,37,0.459459459,4,5.4426
W0608,F,2005,W0608.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8904,UNKNOWN13,W8904.2005,463,2006,-23.49,5.14,24,40,0.6,4,9.8232
W0609,F,2005,W0609.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8904,V434511,W8904.2005,464,2006,-23.23,5.29,22.5,39,0.576923077,4,6.5304
W0611,F,2005,W0611.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0425,W0012,W0425.2005,899,2006,-23.32,4.91,15,35,0.428571429,4,10.22
W0616,F,2005,W0616.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0237,W0101,W0237.2005,469,2006,-22.93,5.03,25,42,0.595238095,5,5.2172
W0620,F,2005,W0620.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0004,UNKNOWN06,W0004.2005,471,2006,-22.99,5.36,25,40,0.625,5,6.795
W0621,F,2005,W0621.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9913,W0424,W9913.2005,472,2006,-23.28,4.53,18,40,0.45,5,4.5312
W0623,F,2005,W0623.2005,2005,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9914,W0102,W9914.2005,474,2006,-22.95,5.43,20.5,42,0.488095238,5,5.4034
W0701,F,2006,W0701.2006,2006,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0209,W0719,W0209.2006,905,2007,-23.338,5.03,20,NA,NA,4,9.56
W0702,F,2006,W0702.2006,2006,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0209,UNKNOWN09,W0209.2006,906,2007,-23.378,5.25,19,NA,NA,4,9.94
W0703,F,2006,W0703.2006,2006,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9806,W0012,W9806.2006,501,2007,-23.298,5.35,20.5,40,0.5125,4,5.7268
W0706,F,2006,W0706.2006,2006,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9814,W0327,W9814.2006,504,2007,-22.778,5.24,19,39,0.487179487,4,4.6194
